x,y,z,vx,vy,vz
-0.0244206699092709,-0.0149017154440262,0.043440989629815,23.316834459955825,3.972543619861771,14.47044456502021
-0.0238680209942409,-0.0148067188068722,0.0437793784654522,23.47887736779707,4.072246966054206,14.177701361477748
-0.0233116342194556,-0.0147094043668606,0.044110916718007,23.637150019773863,4.171296100149958,13.882683060912113
-0.0227515943681995,-0.0146097869377183,0.0444355537839364,23.791626401973243,4.26967472746277,13.58543823386004
-0.0221879867604608,-0.0145078816705677,0.0447532400683937,23.942281147803996,4.367366667895994,13.286015829107436
-0.0216208972415341,-0.0144037040519182,0.0450639269919383,24.089089542565187,4.464355858871615,12.984465164791908
-0.0210504121705643,-0.0142972699016212,0.0453675669971377,24.2320275278828,4.560626358235284,12.68083591943176
-0.0204766184090326,-0.0141885953707888,0.0456641135550588,24.371071706013574,4.656162347136711,12.375178122883645
-0.0198996033091845,-0.0140776969396757,0.0459535211716509,24.506199344015027,4.750948132884705,12.067542147230936
-0.0193194547024002,-0.0139645914155246,0.0462357453940186,24.63738837778068,4.84496815177624,11.75797869760506
-0.0187362608875092,-0.0138492959303758,0.0465107428165832,24.76461741593959,4.938206971898836,11.446538802941904
-0.0181501106190479,-0.0137318279388397,0.0467784710871347,24.887865743619425,5.030649295905663,11.133273806675575
-0.0175610930954624,-0.013612205215834,0.0470388889127717,25.00711332607212,5.122279963762697,10.818235357371686
-0.0169692979472559,-0.013490445854284,0.0472919560657292,25.12234081216133,5.213083955467269,10.501475399302349
-0.0163748152250814,-0.0133665682627877,0.047537633389095,25.233529537711064,5.303046393737442,10.18304616296528
-0.0157777353877806,-0.0132405911632435,0.0477758828024127,25.340661528714715,5.392152546671558,9.86300015554912
-0.0151781492903697,-0.0131125335884437,0.0480066673071715,25.44371950440373,5.480387830377348,9.541390151347322
-0.0145761481719719,-0.0129824148796308,0.0482299509921822,25.542686880175463,5.567737811570028,9.218269182122905
-0.0139718236436974,-0.0128502546840184,0.0484456990388389,25.63754777037951,5.654188210138788,8.893690527426347
-0.0133652676764723,-0.0127160729522763,0.0486538777262661,25.728286990962047,5.7397249016810745,8.56770770486896
-0.0127565725888152,-0.0125798899359799,0.048854454436349,25.814890061967592,5.824333920004127,8.24037446035403
-0.0121458310345641,-0.0124417261850238,0.0490473976586498,25.89734320989785,5.908001459593194,7.911744758268122
-0.0115331359905524,-0.012301602545,0.0492326769952053,25.975633369927056,5.990713878045868,7.581872771634802
-0.010918580744236,-0.0121595401545401,0.0494102631652081,26.04974818797365,6.072457698472046,7.250812872233236
-0.0103022588812701,-0.0120155604426221,0.0495801280095705,26.119676022627743,6.153219611858925,6.918619620683925
-0.0096842642730394,-0.011869685125842,0.0497422444953681,26.18540594693419,6.232986479400568,6.585347756503998
-0.0090646910641385,-0.0117219362056498,0.0498965867201659,26.24692775003104,6.31174533479151,6.251052188134412
-0.0084436336598064,-0.0115723359655494,0.0500431299162233,26.304231938643063,6.3894833864839145,5.915787982941444
-0.0078211867133135,-0.0114209069682642,0.0501818504545792,26.35730973843024,6.466188019907789,5.579610357194841
-0.007197445113303,-0.0112676720528667,0.0503127258490152,26.40615309519113,6.541846799653812,5.242574666025035
-0.0065725039710862,-0.0111126543318727,0.0504357347598971,26.45075467592092,6.616447471618272,4.904736393361739
-0.0059464586078939,-0.0109558771883011,0.0505508569978934,26.4911078697242,6.6899779651097,4.5661511418564045
-0.0053194045420823,-0.0107973642726971,0.0506580735275708,26.527206788582493,6.762426394916756,4.226874622790859
-0.0046914374762968,-0.0106371395001216,0.0507573664708647,26.55904626797645,6.833781063336924,3.88696264597452
-0.0040626532845913,-0.0104752270471047,0.0508487191104246,26.586621867362894,6.9040304621656245,3.5464711096325523
-0.0034331479995067,-0.0103116513485644,0.0509321158928348,26.609929870506857,6.973163274645322,3.2054559902874376
-0.0028030177991069,-0.01014643709469,0.0510075424317067,26.628967285668665,7.041168377374261,2.8639733326361694
-0.0021723589939746,-0.009979609227791,0.051074985510645,26.64373184564644,7.108034842174448,2.522079239425637
-0.0015412680141661,-0.0098111929391104,0.0511344330860851,26.65422200767402,7.173751937918484,2.179829861328394
-0.0009098413961277,-0.0096412136656041,0.051185874290001,26.660436953174887,7.2383091323149555,1.837281386821336
-0.0002781757695729,-0.0094696970866845,0.0512292994324836,26.66237658737224,7.301696093652003,1.4944900320694663
0.0003536321556782,-0.0092966691209296,0.0512647000041884,26.66004153875553,7.363902692498728,1.1515120308173044
0.0009854856028969,-0.0091221559227583,0.0512920686786502,26.653433158404106,7.424919003364184,0.8084036242900803
0.0016172877416793,-0.0089461838790694,0.0513113993144668,26.64255351916816,7.484735306313591,0.4652210511071977
0.0022489417012162,-0.0087687796058476,0.0513226869573478,26.627405414707653,7.543342088541527,0.1220205372102128
0.002880350583597,-0.0085899699447342,0.0513259278420296,26.60799235838964,7.600730045901794,-0.2211417141923417
0.0035114174771476,-0.0084097819595634,0.0513211193940547,26.5843185820446,7.656890084393734,-0.5642095326609832
0.0041420454698013,-0.0082282429328648,0.0513082602314149,26.55638903458238,7.711813321604688,-0.907126790539848
0.0047721376625013,-0.0080453803623308,0.0512873501660569,26.5242093804684,7.765491088108445,-1.2498374129475558
0.0054015971826346,-0.0078612219572507,0.0512583902052502,26.4877859980608,7.817914928819383,-1.592285387742098
0.0060303271974964,-0.0076757956349098,0.0512213825528148,26.44712597780923,7.86907660430215,-1.9344147754574628
0.0066582309277824,-0.0074891295169557,0.0511763306102102,26.40223712031608,7.918968092036657,-2.276169719209843
