pl_name,mass,vx,vy,vz,x,y,z,Cluster,centroid_mass,centroid_x,centroid_y,centroid_z
HD_11506_b,1551.00263,-3.85442,0.23791,-4.15824,0.96993,-1.02459,-0.95769,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_11506_d,2346.52713,-1.68037,0.86872,0.26002,-0.63516,2.14434,-11.26889,0,9333.03117,-5.00373,6.4406,-8.27413
HD_115404_A_c,3279.67133,2.20883,0.01502,0.67299,0.93987,-8.43323,-2.89653,0,9333.03117,-5.00373,6.4406,-8.27413
HD_115954_b,2685.65004,0.12214,-1.01407,-4.6737,-2.41035,0.84207,-0.2457,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_117207_b,669.34663,-3.48574,1.46871,-0.01394,0.27673,0.68624,3.10551,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_118203_b,693.50158,-11.63769,4.43778,-29.88419,-0.04134,0.01838,0.01883,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_118203_c,3527.89532,-0.12712,0.36665,-3.25912,-4.22093,1.80806,0.36804,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_120084_b,2034.1018,-4.573,2.32332,-0.76706,0.61209,1.63424,1.30079,0,9333.03117,-5.00373,6.4406,-8.27413
HD_12235_c,3135.69506,1.1157,-1.11264,0.20887,-10.04244,-7.56181,13.3613,1,1102.6302929666667,-0.025847466666666624,0.05452856666666667,-0.016709300000000066
HD_124330_b,238.37131,9.0976,3.22775,0.12927,0.18975,-0.53494,0.00251,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_125271_b,3465.60095,-0.40695,0.44942,-2.17358,-7.06344,5.10255,2.37746,1,1102.6302929666667,-0.025847466666666624,0.05452856666666667,-0.016709300000000066
HD_125390_b,8646.20398,2.02428,-0.68235,6.33926,1.08024,-0.79541,-0.43056,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_125612_d,2281.37231,2.05515,-1.35382,2.53659,2.02234,-1.5231,-2.45141,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_126614_b,107.74383,4.73484,-4.28209,4.40032,0.53027,-0.26295,-0.82646,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_128311_b,562.24127,-0.43616,7.94212,2.19455,0.68259,-0.05091,0.31989,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_128311_c,1204.25787,1.04456,3.19905,4.46574,1.1612,-0.8299,0.32289,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_129445_b,797.7493,-5.56971,-1.52078,-6.61871,-0.43629,0.72552,0.20044,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_132406_b,1970.53612,0.71478,-4.18261,-4.74091,-0.97032,0.57865,-0.6568,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_135625_b,731.00534,-2.06587,2.4135,0.05538,-0.12904,-0.21437,4.52909,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_135872_b,1744.56013,-0.0501,0.43405,-3.60339,-2.27234,2.62305,0.34755,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_136118_b,4164.18779,1.13747,-4.52224,3.60747,1.03056,-0.5324,-0.99234,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_136352_b,4.72,-1.67558,1.1956,-20.13182,-0.06089,0.07413,0.00947,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_136352_c,11.24,8.94927,-11.04162,-5.23312,-0.04098,0.0433,-0.16144,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_136352_d,8.82,-1.00644,1.14792,-9.51629,-0.26702,0.32373,0.06729,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_13931_b,889.91954,-1.65928,-1.24696,1.91585,-3.28327,3.81614,-0.35979,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_139357_b,6315.56828,2.36442,-2.42875,-2.19991,-0.45108,1.503,-2.14416,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_1397_b,131.89945,0.86219,-0.50024,24.49656,-0.08187,0.00631,0.00301,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_14067_b,4862.77463,4.86142,-3.38094,-1.03643,-0.6552,-1.27654,1.09095,0,9333.03117,-5.00373,6.4406,-8.27413
HD_140901_c,572.09113,3.45459,-3.36337,1.58125,-1.16777,-1.91678,-1.5258,0,9333.03117,-5.00373,6.4406,-8.27413
HD_142_c,3464.64746,-2.63166,0.0755,0.41938,-1.11672,-0.01487,-7.00488,0,9333.03117,-5.00373,6.4406,-8.27413
HD_142022_A_b,1433.40612,-2.47859,0.25359,-6.13629,-0.51472,1.25063,0.25959,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_143361_b,1382.55357,0.39952,-5.05824,-1.96383,-1.12975,0.32954,-1.07863,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_145675_c,1597.08775,-1.69977,-0.41295,2.13032,2.30389,-6.84228,0.51193,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_145934_b,658.54046,-0.23167,-0.49303,-3.02366,-2.06036,3.98008,-0.49112,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
