pl_name,ra,dec,pl_orbincl,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_orblper,pl_orbper,pl_Omega,vx,vy,vz,x,y,z
HD_62549_b,116.0821439,-5.0541223,162.313,2707.5802,11.842,0.15,133.809,14306.88519,81.54091799962873,-1.61091,-1.3099,-0.44667,5.82026,-7.91028,2.2069
HD_63433_b,117.4793699,27.3631342,89.38,37.3,0.072,0.0,90.0,7.1079384,62.52200334268712,-10.80435,-20.77444,0.0,-0.00069,0.00036,0.072
HD_63433_c,117.4793699,27.3631342,89.147,17.2,0.146,0.0,90.0,20.543847,62.52322943962904,-7.58701,-14.58895,0.0,-0.00193,0.001,0.14598
HD_63935_b,117.9246417,9.3852412,88.49,10.5,0.083,0.0,90.0,9.058807,62.0835917274981,-10.21072,-19.27135,0.0,-0.00193,0.00102,0.08297
HD_63935_c,117.9246417,9.3852412,88.241,11.1,0.148,0.0,90.0,21.4027,62.086531080876256,-7.64579,-14.43218,0.0,-0.00401,0.00213,0.14793
HD_66428_b,120.8691654,-1.1636019,16.639,3478.94974,3.395,0.471,185.689,2269.81726,80.2872543211908,5.43886,-0.35904,-1.62023,-0.13337,-1.79027,-0.05098
HD_66428_c,120.8691654,-1.1636019,93.938,560.64931,9.408,0.207,201.295,10478.84437,59.190447767034065,0.3312,0.87112,-2.34914,-3.7201,-5.87487,-2.70305
HD_68402_b,121.3474609,-74.4100732,20.3,2510.84442,2.18,0.03,17.19,1103.0,78.0670360999685,-4.11213,-0.45559,1.45341,-0.15577,2.09768,0.21682
HD_69123_b,123.55499,-35.4899246,70.0,982.08978,2.482,0.19,-67.3,1193.3,58.06608346176295,1.81738,4.12215,1.75298,0.94871,0.32289,-1.74284
HD_70642_b,125.3661079,-39.7044432,29.9,1239.53079,3.318,0.175,272.84,2124.54,70.51554885567565,1.2047,3.93502,0.10167,2.27959,-0.66268,-1.36286
HD_72659_b,128.5128072,-1.5686323,77.583,949.67128,4.691,0.257,259.451,3549.39854,52.146149419583836,2.39363,2.83781,-0.67464,0.19018,-0.95595,-3.34635
