st_rotperr1,st_rotperr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2
,,,,,,,,14.73,0.03,,13.74,0.03,,,,,,,,,,
,,,,,,,,12.638,0.019,,12.283,0.053,,,,,,,,,,
,,,,,,,,15.211,0.04,,14.685,0.069,,,,,,,,,,
,,,,,,,,14.738,0.027,,14.304,0.033,,,,,,,,,,
,,,,,,,,15.672,0.048,,,,,,,,,,,,,
,,,,,,,,15.54,,,14.75,,,,,,,,,,,
,,,,,,,,15.346,0.007,,14.521,0.011,,,,,,,,,,
0.4,-0.4,16.9794,0.0071777,-0.0071777,15.387,0.0036424,-0.0036424,14.7454,0.0044737,-0.0044737,14.5159,0.0043373,-0.0043373,14.4078,0.0046509,-0.0046509,,,,,,
,,15.9662,0.0046853,-0.0046853,14.4123,0.0024274,-0.0024274,13.7257,0.0023377,-0.0023377,13.4259,0.0025521,-0.0025521,13.2554,0.0028195,-0.0028195,,,,,,
0.02,-0.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,17.9494,0.0115523,-0.0115523,16.4513,0.0039366,-0.0039366,15.7952,0.0042424,-0.0042424,15.4723,0.003927,-0.003927,15.2871,0.0053156,-0.0053156,,,,,,
,,,,,14.299,0.041,,13.698,0.084,,13.487,0.141,,,,,,,,,,
,,,,,,,,15.038,0.043,,14.198,0.034,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15.848,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
