st_rotperr1,st_rotperr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2
3.38,-2.66,14.7056,0.0059104,-0.0059104,11.1637,0.0005387,-0.0005387,9.90257,0.0003783,-0.0003783,13.172,0.0087852,-0.0087852,9.85039,0.0012146,-0.0012146,8.89,0.008,,10.277,,
3.38,-2.66,14.7056,0.0059104,-0.0059104,11.1637,0.0005387,-0.0005387,9.90257,0.0003783,-0.0003783,13.172,0.0087852,-0.0087852,9.85039,0.0012146,-0.0012146,8.89,0.008,,10.277,,
3.38,-2.66,14.7056,0.0059104,-0.0059104,11.1637,0.0005387,-0.0005387,9.90257,0.0003783,-0.0003783,13.172,0.0087852,-0.0087852,9.85039,0.0012146,-0.0012146,8.89,0.008,,10.277,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,10.8,,,,,
,,,,,,,,,,,,,,,,,,,,11.87,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.4878,0.0059279,-0.0059279,13.7916,0.0031523,-0.0031523,13.0682,0.0020829,-0.0020829,13.0552,0.0026674,-0.0026674,13.2406,0.0068041,-0.0068041,,,,,,
,,14.9082,0.0076642,-0.0076642,11.655,0.0005549,-0.0005549,11.252,0.0005725,-0.0005725,11.1022,0.000672,-0.000672,11.4663,0.002509,-0.002509,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.7557,0.0063894,-0.0063894,10.9083,0.0004818,-0.0004818,9.57992,0.0003376,-0.0003376,8.72791,0.0001255,-0.0001255,8.97813,0.0010578,-0.0010578,8.12,0.025,,,,
0.1,-0.09,,,,,,,,,,,,,,,,7.44,0.025,,,,
0.29,-0.29,,,,,,,,,,,,,,,,7.55,0.025,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,9.7,,,,,
,,,,,10.665,,,9.479,,,,,,,,,,,,9.174,,
,,,,,10.665,,,9.479,,,,,,,,,,,,9.174,,
,,15.7005,0.005574,-0.005574,14.179,0.0041866,-0.0041866,12.5706,0.001644,-0.001644,12.1515,0.0014175,-0.0014175,12.8943,0.0051477,-0.0051477,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.8651,0.0066004,-0.0066004,13.5205,0.0022484,-0.0022484,12.4201,0.001168,-0.001168,12.13,0.0010789,-0.0010789,13.2403,0.0079283,-0.0079283,,,,,,
2.5,-2.5,15.7269,0.0050404,-0.0050404,15.1679,0.0104896,-0.0104896,12.7461,0.0025441,-0.0025441,14.0311,0.0082096,-0.0082096,12.867,0.0045082,-0.0045082,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.02,-0.02,15.8447,0.0108829,-0.0108829,15.6262,0.0150073,-0.0150073,13.1135,0.0032342,-0.0032342,12.0708,0.0019816,-0.0019816,13.3036,0.0146086,-0.0146086,,,,,,
0.8,-0.8,14.8395,0.0064982,-0.0064982,12.4013,0.0011576,-0.0011576,11.5915,0.000714,-0.000714,11.4387,0.0010851,-0.0010851,13.532,0.0156687,-0.0156687,,,,,,
0.4,-0.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.315,0.0058845,-0.0058845,11.999,0.0010353,-0.0010353,11.6961,0.0009322,-0.0009322,11.621,0.0011054,-0.0011054,12.6475,0.0053564,-0.0053564,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.1459,0.0044367,-0.0044367,14.2734,0.0037215,-0.0037215,13.1281,0.0030833,-0.0030833,12.8267,0.0027988,-0.0027988,12.8394,0.0038674,-0.0038674,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.3497,0.0074167,-0.0074167,12.0573,0.0007511,-0.0007511,11.2937,0.0006178,-0.0006178,11.093,0.0006237,-0.0006237,11.4145,0.0026347,-0.0026347,10.504,0.065,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.6095,0.0046612,-0.0046612,12.6873,0.0009679,-0.0009679,12.387,0.0013191,-0.0013191,12.3141,0.0019424,-0.0019424,13.1573,0.0056549,-0.0056549,,,,,,
,,15.0796,0.0059623,-0.0059623,12.7303,0.0011531,-0.0011531,12.168,0.0010611,-0.0010611,11.9824,0.0013357,-0.0013357,13.3394,0.0076028,-0.0076028,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.7233,0.0038512,-0.0038512,13.1831,0.0020939,-0.0020939,12.4788,0.0027407,-0.0027407,12.2275,0.0015013,-0.0015013,12.3811,0.0031705,-0.0031705,,,,,,
,,15.2777,0.0092875,-0.0092875,12.651,0.0009746,-0.0009746,12.2927,0.0008009,-0.0008009,12.2488,0.0006337,-0.0006337,13.5173,0.0083338,-0.0083338,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.6496,0.0041461,-0.0041461,12.6126,0.0012756,-0.0012756,13.8471,0.0071644,-0.0071644,11.9737,0.0011115,-0.0011115,12.6331,0.0043478,-0.0043478,,,,,,
,,15.4753,0.0054253,-0.0054253,14.4197,0.004427,-0.004427,13.2885,0.0017145,-0.0017145,13.1945,0.0019518,-0.0019518,13.5207,0.0048838,-0.0048838,,,,13.214,,
,,15.968,0.0062721,-0.0062721,14.2829,0.0038573,-0.0038573,13.0495,0.001397,-0.001397,12.9233,0.0022117,-0.0022117,13.4794,0.0056928,-0.0056928,,,,,,
,,15.968,0.0062721,-0.0062721,14.2829,0.0038573,-0.0038573,13.0495,0.001397,-0.001397,12.9233,0.0022117,-0.0022117,13.4794,0.0056928,-0.0056928,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.6197,0.0053619,-0.0053619,12.1507,0.00167,-0.00167,11.7136,0.0006596,-0.0006596,11.6603,0.0019554,-0.0019554,13.4771,0.0145167,-0.0145167,11.194,0.052,,,,
,,,,,13.839,0.05,,13.194,0.03,,12.998,0.04,,,,,12.67,0.12,,,,
,,,,,14.631,0.06,,13.677,0.08,,13.441,0.09,,,,,13.02,0.17,,,,
,,15.6196,0.006862,-0.006862,16.9591,0.0166967,-0.0166967,13.615,0.0026216,-0.0026216,13.5231,0.0021137,-0.0021137,13.6097,0.0063905,-0.0063905,13.13,0.12,,,,
,,,,,,,,,,,,,,,,,,,,13.6,,
,,,,,13.5,0.04,,13.06,0.02,,12.88,0.04,,,,,12.67,0.14,,,,
,,,,,11.04,0.03,,10.762,0.08,,10.709,0.06,,,,,9.919,0.093,,10.9,,
,,,,,10.741,0.074,,10.371,0.053,,10.282,0.034,,,,,10.007,0.063,,,,
,,15.2239,0.0055385,-0.0055385,13.6019,0.0029855,-0.0029855,12.8879,0.0021501,-0.0021501,12.6325,0.0018097,-0.0018097,13.0887,0.0058639,-0.0058639,,,,,,
,,14.6572,0.0048099,-0.0048099,12.4166,0.0008679,-0.0008679,11.7641,0.0006696,-0.0006696,11.6022,0.0006792,-0.0006792,12.7647,0.0053711,-0.0053711,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.445,0.016,,12.948,0.033,,12.784,0.097,,,,,12.46,0.1,,,,
,,15.1285,0.0050949,-0.0050949,13.5302,0.0020244,-0.0020244,13.0217,0.0018534,-0.0018534,14.1947,0.0100972,-0.0100972,13.4445,0.0046054,-0.0046054,12.339,0.084,,,,
,,,,,10.351,,,10.01,,,,,,,,,9.518,0.048,,,,
0.06,-0.06,17.1782,0.0106452,-0.0106452,15.5769,0.0061621,-0.0061621,13.678,0.0026555,-0.0026555,13.2784,0.0015233,-0.0015233,13.3813,0.0067289,-0.0067289,,,,,,
,,,,,9.796,0.03,,9.855,0.041,,9.976,0.02,,,,,,,,,,
,,,,,10.935,,,10.49,,,,,,,,,,,,10.463,,
,,,,,9.842,0.351,,9.506,0.028,,9.962,0.061,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,15.4634,0.0108139,-0.0108139,12.7181,0.001017,-0.001017,12.2061,0.000783,-0.000783,14.2577,0.0109579,-0.0109579,13.7853,0.0102921,-0.0102921,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.448,0.01,,12.967,0.01,,12.781,0.01,,,,,,,,,,
,,,,,14.268,0.012,,13.865,0.039,,13.506,0.234,,,,,,,,13.737,,
,,,,,12.972,0.005,,12.654,0.015,,12.595,0.021,,,,,,,,12.7,,
,,,,,14.217,0.01,,13.612,0.01,,13.392,0.01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,15.323,0.01,,14.592,0.01,,14.32,0.01,,,,,,,,,,
0.02,-0.02,,,,14.086,0.02,,13.645,0.01,,13.496,0.03,,,,,,,,,,
,,,,,12.665,0.05,,12.162,0.06,,12.08,0.19,,,,,,,,,,
0.4,-0.4,,,,14.407,0.02,,13.854,0.03,,13.77,0.15,,,,,,,,,,
5.2,-5.2,,,,,,,,,,,,,,,,,,,,,
,,,,,13.943,0.03,,13.056,0.03,,12.82,0.14,,,,,,,,,,
,,,,,14.246,0.01,,13.735,0.01,,13.427,0.01,,,,,,,,,,
,,,,,13.071,0.01,,12.643,0.01,,12.518,0.09,,,,,,,,,,
,,,,,13.38,0.02,,12.909,0.04,,12.687,0.05,,,,,,,,,,
,,,,,13.229,0.01,,12.822,0.01,,12.695,0.03,,,,,,,,,,
,,,,,12.927,0.04,,12.665,0.04,,12.515,0.08,,,,,,,,,,
,,,,,14.274,0.03,,13.717,0.01,,13.615,0.01,,,,,,,,,,
,,,,,12.95,0.01,,12.43,0.01,,12.154,0.01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,12.439,0.01,,12.046,0.01,,11.935,0.01,,,,,,,,,,
,,,,,13.356,0.03,,12.95,0.03,,12.775,0.08,,,,,,,,,,
,,,,,14.694,0.01,,14.13,0.01,,14.035,0.01,,,,,,,,,,
,,,,,12.174,0.04,,11.704,0.04,,11.52,0.11,,,,,,,,,,
,,,,,14.182,0.01,,13.65,0.01,,13.459,0.05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,14.675,0.01,,14.231,0.01,,14.146,0.05,,,,,,,,14.3,,
,,,,,12.733,0.06,,11.906,0.03,,11.616,0.03,,,,,,,,,,
,,,,,12.78,0.037,,12.22,0.057,,12.26,0.19,,,,,,,,,,
,,,,,12.907,0.02,,12.578,0.05,,12.542,0.06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.557,0.02,,13.272,0.04,,13.197,0.04,,,,,,,,,,
,,,,,12.893,0.04,,12.555,0.02,,12.484,0.06,,,,,,,,,,
,,,,,13.922,0.05,,13.498,0.01,,13.396,0.05,,,,,,,,,,
,,,,,13.973,0.03,,13.301,0.02,,13.094,0.07,,,,,,,,,,
,,,,,14.933,0.01,,14.086,0.01,,13.794,0.03,,,,,,,,,,
,,,,,13.55,0.02,,13.201,0.06,,13.162,0.04,,,,,,,,,,
,,,,,14.018,0.01,,13.487,0.02,,13.45,0.22,,,,,,,,,,
0.28,-0.28,,,,15.48,0.01,,14.398,0.01,,14.009,0.01,,,,,,,,,,
,,,,,14.935,0.03,,13.821,0.05,,13.69,0.17,,,,,,,,,,
,,,,,15.668,0.04,,14.496,0.01,,14.14,0.12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13.535,0.01,,,,,,,,,,
,,,,,12.766,0.03,,12.269,0.04,,12.115,0.04,,,,,,,,,,
,,,,,13.962,0.02,,13.49,0.06,,13.409,0.07,,,,,,,,,,
,,,,,14.137,0.02,,13.579,0.03,,13.3,0.28,,,,,,,,,,
,,,,,14.301,0.01,,13.681,0.01,,13.52,0.1,,,,,,,,,,
,,,,,13.746,0.03,,13.279,0.03,,13.12,0.03,,,,,,,,,,
,,,,,11.801,0.022,,11.473,0.017,,11.32,0.046,,,,,,,,,,
0.04,-0.04,,,,12.669,0.035,,12.129,0.058,,11.949,0.063,,,,,,,,,,
,,,,,11.752,0.019,,11.466,0.024,,11.379,0.07,,,,,,,,,,
,,,,,14.286,0.03,,13.725,0.03,,13.551,0.04,,,,,,,,,,
,,,,,14.286,0.03,,13.725,0.03,,13.551,0.04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,12.987,0.03,,12.439,0.04,,12.288,0.046,,,,,,,,,,
,,,,,13.593,0.046,,13.014,0.021,,12.854,0.056,,,,,,,,,,
,,,,,14.421,0.058,,13.776,0.019,,13.591,0.011,,,,,,,,,,
,,,,,14.183,0.057,,13.674,0.024,,13.482,0.032,,,,,,,,,,
,,,,,13.13,0.03,,12.813,0.03,,12.763,0.06,,,,,,,,,,
,,,,,12.747,0.03,,12.375,0.04,,12.14,0.11,,,,,,,,,,
,,,,,14.344,0.01,,14.015,0.02,,13.89,0.03,,,,,,,,,,
,,,,,13.882,0.02,,13.551,0.03,,13.428,0.08,,,,,,,,,,
,,,,,12.484,0.02,,12.137,0.01,,12.05,0.03,,,,,,,,,,
,,,,,14.401,0.03,,13.622,0.02,,13.598,0.03,,,,,,,,,,
,,,,,13.825,0.01,,13.013,0.03,,12.69,0.03,,,,,,,,,,
,,,,,12.593,0.047,,12.642,0.029,,12.727,0.034,,,,,,,,,,
0.14,-0.14,,,,17.105,0.042,,15.81,0.009,,14.575,0.031,,,,,,,,,,
0.02,-0.02,,,,12.995,0.01,,11.998,0.01,,11.622,0.03,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.629,0.01,,13.072,0.03,,12.865,0.01,,,,,,,,13.095,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.416,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.2,-0.2,,,,,,,,,,,,,,,,,,,8.553,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.703,,
,,,,,,,,,,,,,,,,,,,,7.703,,
,,,,,,,,,,,,,,,,,4.165,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9.399,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
4.9,-4.9,,,,,,,,,,,,,,,,,,,,,
4.9,-4.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.416,,
,,,,,10.14,0.19,,9.41,0.29,,8.848,0.06,,,,,,,,9.234,,
,,,,,10.14,0.19,,9.41,0.29,,8.848,0.06,,,,,,,,9.234,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.78,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8.427,,
,,,,,,,,,,,,,,,,,,,,8.427,,
,,,,,,,,,,,,,,,,,,,,,,
,,14.7664,0.0048608,-0.0048608,11.2642,0.0005629,-0.0005629,9.79696,0.000338,-0.000338,9.38691,0.0004189,-0.0004189,12.0617,0.0082379,-0.0082379,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.51,-0.51,,,,,,,,,,,,,,,,,,,,,
0.51,-0.51,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.507,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.07,-0.07,,,,,,,,,,,,,,,,,,,,,
1.2,-1.2,,,,,,,,,,,,,,,,,,,,,
1.2,-1.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.699,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7.41,0.008,,,,
,,,,,,,,,,,,,,,,,7.41,0.008,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.02,-0.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8.0,-8.0,,,,,,,,,,,,,,,,,,,,,
8.0,-8.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.555,,,,,
,,,,,,,,,,,,,,,,,5.555,,,,,
,,,,,,,,,,,,,,,,,3.732,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7.848,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7.13,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7.56,0.025,,,,
,,,,,,,,,,,,,,,,,6.711,,,,,
,,,,,,,,,,,,,,,,,6.711,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2.9,-2.9,,,,,,,,,,,,,,,,,,,,,
2.9,-2.9,,,,,,,,,,,,,,,,,,,,,
3.9,-3.9,,,,,,,,,,,,,,,,,,,,,
3.9,-3.9,,,,,,,,,,,,,,,,,,,,,
3.9,-3.9,,,,,,,,,,,,,,,,,,,,,
3.9,-3.9,,,,,,,,,,,,,,,,,,,,,
3.9,-3.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.755,,,,,
,,,,,,,,,,,,,,,,,5.755,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
3.1,-3.1,,,,,,,,,,,,,,,,4.935,,,,,
3.1,-3.1,,,,,,,,,,,,,,,,4.935,,,,,
3.1,-3.1,,,,,,,,,,,,,,,,4.935,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9.833,,
,,,,,,,,,,,,,,,,,,,,9.833,,
0.47,-0.47,,,,,,,,,,,,,,,,,,,,,
0.47,-0.47,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.257,,,,,
,,,,,,,,,,,,,,,,,5.257,,,,,
,,,,,,,,,,,,,,,,,3.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.12,,,,,
,,,,,,,,,,,,,,,,,5.12,,,,,
,,,,,,,,,,,,,,,,,5.12,,,,,
,,,,,,,,,,,,,,,,,6.82,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.75,,,,,
,,,,,,,,,,,,,,,,,5.75,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6.1,-6.1,,,,,,,,,,,,,,,,6.83,0.025,,,,
,,,,,,,,,,,,,,,,,4.7,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.02,-0.02,,,,,,,,,,,,,,,,,,,,,
0.02,-0.02,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5.76,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6.315,,,,,
,,,,,,,,,,,,,,,,,6.315,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6.396,,
,,,,,,,,,,,,,,,,,,,,,,
7.0,-7.0,,,,,,,,,,,,,,,,,,,,,
7.0,-7.0,,,,,,,,,,,,,,,,,,,,,
7.0,-7.0,,,,,,,,,,,,,,,,,,,,,
7.0,-7.0,,,,,,,,,,,,,,,,,,,,,
7.0,-7.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,6.479,,,,,
,,,,,,,,,,,,,,,,,6.479,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4.4,,,,,
,,,,,,,,,,,,,,,,,4.4,,,,,
,,,,,,,,,,,,,,,,,4.4,,,,,
